source,destination,frequency
6,133,3
6,131,1
33,59,39
29,32,4
33,53,323
29,33,56
33,54,215
29,34,3
33,51,18
33,52,332
29,35,1
64,70,3
33,57,70
33,58,403
29,30,11
33,55,205
33,56,21
64,75,3
64,76,3
29,36,36
6,129,2
29,37,12
33,50,149
64,72,24
6,128,4
64,73,1
29,38,13
64,74,4
33,49,87
33,48,101
33,40,64
29,23,3
64,80,13
33,41,689
64,81,60
29,21,9
33,42,359
33,43,38
29,22,3
33,44,89
33,45,147
29,20,1
33,46,157
33,47,100
64,88,1
29,29,131
6,139,3
29,27,8
64,84,16
6,138,1
64,85,8
29,25,2
64,83,2
29,26,14
6,111,96
6,114,3
6,112,33
6,113,50
33,39,89
33,38,288
33,37,55
89,4,6
33,35,31
89,3,1
33,36,410
89,6,3
33,33,716
33,34,84
89,8,6
29,10,47
33,31,29
64,90,6
33,32,363
29,11,3
29,12,6
64,91,4
89,9,14
33,30,81
64,93,2
29,14,8
64,94,18
29,15,67
29,16,5
29,17,104
29,18,130
64,98,18
29,19,3
64,99,54
33,27,30
33,26,52
33,29,34
33,22,111
33,23,90
33,24,29
33,25,70
33,20,77
33,21,128
64,39,57
64,35,194
64,36,86
64,37,1
64,38,1018
33,90,3
64,32,10
64,31,205
64,34,6
64,33,34
33,94,4
33,93,1
64,30,9
33,91,21
33,98,3
33,97,12
33,96,4
33,95,16
33,99,9
6,102,4
6,103,77
64,48,179
64,49,89
64,46,24
64,47,376
64,45,28
64,44,164
64,43,376
64,42,105
64,41,10
33,81,32
64,40,425
33,80,163
33,83,1
33,82,16
33,85,3
33,84,35
33,87,4
33,86,50
33,89,34
33,88,14
64,57,29
64,58,121
64,59,135
64,50,87
33,72,35
33,71,4
64,52,50
33,70,55
64,51,1
64,54,95
64,53,18
64,56,1
64,55,19
33,79,19
33,78,11
33,77,3
33,76,29
33,75,56
33,74,84
33,73,25
64,68,6
64,69,6
64,63,170
33,61,251
64,61,56
64,60,44
33,60,372
64,67,7
64,66,2
64,65,44
64,64,423
33,67,602
33,66,104
33,69,90
33,68,44
33,63,43
33,62,32
33,65,21
33,64,19
30,111,7
30,112,3
30,115,1
30,113,6
105,83,2
105,89,1
5,6,6
5,5,228
30,126,6
5,4,71
29,4,3
5,3,97
29,3,1
29,5,4
29,6,16
29,8,40
29,9,21
105,76,2
47,8,16
47,7,150
47,6,457
47,5,8
47,4,75
47,3,9
47,9,26
105,62,1
30,102,63
30,103,6
30,100,4
105,51,1
33,10,714
33,12,44
33,11,70
33,14,56
33,13,56
33,15,101
33,16,134
33,17,88
33,18,47
33,19,117
30,138,1
22,90,10
22,92,2
22,91,9
22,94,43
30,131,3
22,93,18
22,96,1
22,95,7
22,98,52
22,99,66
5,8,39
5,7,6
5,9,44
105,90,1
105,99,1
20,128,2
22,84,65
22,85,21
22,86,12
22,87,1
22,88,10
22,89,1
22,80,17
22,81,151
22,82,2
22,83,4
20,140,1
22,75,16
22,76,15
20,139,2
22,73,5
20,138,1
22,74,29
22,79,8
22,77,2
22,78,22
20,131,1
22,71,2
22,72,46
22,70,6
44,27,7
44,26,47
44,29,6
22,66,8
22,67,29
22,68,17
22,69,13
22,62,8
22,63,337
22,64,612
22,65,499
20,102,8
44,20,187
22,60,218
20,103,17
22,61,196
44,21,101
44,22,438
44,23,80
44,24,179
44,25,33
44,18,2
44,17,13
44,16,69
44,15,15
44,19,8
22,59,164
114,128,2
22,57,301
22,58,365
22,55,92
22,56,63
22,53,168
22,54,255
22,51,112
22,52,152
44,10,25
22,50,776
20,113,16
20,112,38
20,111,97
44,13,9
44,14,17
44,11,57
44,12,25
22,48,476
22,49,471
77,67,8
77,68,5
22,41,74
114,111,3
22,40,1832
114,112,1
22,43,1437
77,60,3
114,113,1
22,42,1003
77,61,2
114,114,5
22,45,94
22,44,338
22,47,1151
22,46,181
22,39,407
22,37,3
22,38,1962
69,9,58
77,79,7
69,3,21
69,4,6
77,77,46
77,78,51
77,75,8
69,7,2
69,8,26
77,76,18
69,5,29
77,73,11
69,6,16
77,74,15
22,32,123
77,71,9
77,72,2
22,31,875
22,30,93
114,105,2
22,36,543
22,35,186
114,103,5
22,34,46
22,33,146
22,26,609
22,27,68
22,29,9
105,12,3
77,84,2
77,88,9
77,89,2
22,23,311
22,22,588
22,25,315
22,24,468
77,80,37
77,81,6
22,21,400
22,20,1236
105,26,2
105,27,4
22,19,19
105,25,1
22,17,29
22,18,8
22,15,11
22,16,396
77,98,26
77,95,5
22,14,9
22,13,49
77,90,3
22,12,110
22,11,19
22,10,27
77,94,1
77,91,17
98,96,1
98,97,2
98,94,64
44,80,8
98,95,3
44,81,57
98,98,169
98,99,47
44,88,6
77,23,4
44,89,2
77,22,5
77,21,39
44,87,1
77,20,1
98,90,27
44,84,35
98,91,10
44,85,7
44,70,5
44,72,34
44,77,1
44,78,11
77,33,9
44,79,8
77,36,6
44,73,1
44,74,38
44,75,27
44,76,9
77,38,3
77,39,3
98,78,10
98,79,2
98,76,2
98,77,9
98,74,6
98,75,10
98,72,13
98,73,1
77,43,2
98,70,6
98,71,1
77,47,3
77,46,7
77,45,2
98,87,9
98,88,1
98,89,1
44,90,15
98,83,1
44,91,3
98,84,31
44,94,20
77,52,3
98,80,9
77,54,1
98,81,25
44,98,77
77,53,6
44,99,5
77,55,10
18,3,17
18,4,6
18,6,15
18,5,19
18,8,66
18,7,4
18,9,25
44,47,231
44,46,50
44,45,23
44,44,470
44,43,131
44,42,286
44,41,32
44,40,351
98,53,15
98,52,11
98,50,47
98,57,1
98,55,6
98,54,45
7,37,1
7,36,60
98,58,35
7,39,10
98,59,8
7,38,453
7,31,70
7,33,28
7,32,6
44,48,118
7,35,98
7,34,1
44,49,140
44,34,18
44,33,113
44,36,371
44,35,103
44,30,21
98,60,12
44,32,21
44,31,114
98,61,9
98,64,18
98,63,1
98,65,8
98,68,1
98,67,18
7,27,5
7,26,26
7,25,8
7,29,7
7,20,389
44,37,11
7,24,44
7,23,77
44,38,721
7,22,391
44,39,48
7,21,27
44,65,107
44,64,158
44,63,36
44,62,7
44,69,3
44,68,13
44,67,17
44,66,8
98,35,8
98,34,1
98,33,6
98,32,3
98,31,20
44,61,94
44,60,188
98,38,53
7,15,6
98,39,1
98,36,35
7,16,43
7,11,2
7,10,5
7,13,9
7,12,3
44,52,110
44,51,9
44,54,300
44,53,176
77,10,1
44,56,7
44,55,64
44,58,180
77,13,1
44,57,59
98,44,88
98,43,35
98,46,1
98,45,4
98,40,72
98,42,46
44,50,87
98,41,1
98,47,159
98,48,21
98,49,4
77,16,2
44,59,117
7,47,218
7,48,88
7,49,40
7,40,235
7,41,16
7,42,62
7,43,300
7,44,93
7,45,13
7,46,12
132,14,5
7,58,17
7,59,39
7,52,41
7,53,18
7,50,42
7,57,11
7,54,63
7,55,12
7,69,2
98,26,3
98,25,3
7,65,28
7,66,5
7,67,4
7,68,14
7,61,15
7,62,1
7,63,73
7,64,114
7,60,46
98,23,22
98,24,20
98,22,56
98,20,50
98,14,6
98,17,2
98,16,7
7,76,8
7,74,5
7,75,5
7,72,4
7,71,1
7,70,1
98,11,1
7,84,3
7,88,3
7,87,1
7,80,4
7,81,23
7,96,1
7,94,2
7,99,7
7,98,5
7,93,2
7,90,1
17,8,84
17,9,16
17,6,14
